iter	RMSE
0	1.015196278
1	0.9652126461
2	0.9253042925
3	0.8943631632
4	0.8719887615
5	0.8550659646
6	0.8409630415
7	0.8308390845
8	0.821623602
9	0.8145767624
10	0.8093924401
11	0.8048900696
12	0.8014408066
13	0.7984284441
14	0.7957296116
15	0.7940452271
16	0.7923469018
17	0.7908619154
18	0.7898390448
19	0.7886476613
20	0.7874342198
21	0.7865844895
22	0.7858892961
23	0.785035922
24	0.7841033368
25	0.7834845835
26	0.7828761778
27	0.7821257541
28	0.7816282245
29	0.7810390146
30	0.7804360582
31	0.7798165692
32	0.7795087677
33	0.7789972144
34	0.7787274886
35	0.7784067445
36	0.7779974662
37	0.7773735729
38	0.7768858694
39	0.7761446288
40	0.7759730442
41	0.7755676916
42	0.7753007894
43	0.774770518
44	0.7742770547
45	0.7739538345
46	0.7737418491
47	0.7733768731
48	0.7730581272
49	0.7726690461
50	0.7724718466
51	0.7721812544
52	0.7717396691
53	0.7714209905
54	0.7710671075
55	0.7705200649
56	0.7701931535
57	0.7697567423
58	0.7695169297
59	0.7691612975
60	0.7687272976
61	0.7683563043
62	0.7682234196
63	0.7677669127
64	0.7672548255
65	0.766679527
66	0.7662530832
67	0.7658565289
68	0.7652581401
69	0.7649401069
70	0.7645850428
71	0.7642010458
72	0.7638211753
73	0.7634607474
74	0.7630187107
75	0.7625997333
76	0.762338038
77	0.7618776981
78	0.7614460646
79	0.76094689
80	0.7605507761
81	0.7601146206
82	0.7598014367
83	0.7593808228
84	0.7590353526
85	0.7586117343
86	0.7581210164
87	0.7574090124
88	0.7569948885
89	0.7566631378
90	0.7560951973
91	0.7556131649
92	0.755116931
93	0.7548536964
94	0.7542779815
95	0.7534994275
96	0.7530209339
97	0.752774161
98	0.752447348
99	0.7522296872
100	0.7517852821
101	0.7514512233
102	0.7511392068
103	0.750874164
104	0.7502920202
105	0.7499103538
106	0.749437956
107	0.749261869
108	0.7489592317
109	0.7485068375
110	0.7480639475
111	0.7476974453
112	0.7474644785
113	0.7472358434
114	0.7469631069
115	0.7466873844
116	0.7463208639
117	0.7460781559
118	0.7458840329
119	0.7455393398
120	0.7452948018
121	0.7449953669
122	0.7445228123
123	0.7440741123
124	0.7438041953
125	0.7434447657
126	0.743057504
127	0.7428853014
128	0.7425658825
129	0.7420691784
130	0.7415138684
131	0.7411762078
132	0.7408782793
133	0.7404471085
134	0.7401414685
135	0.7397959335
136	0.7396179642
137	0.7392372748
138	0.7390078254
139	0.7386403848
140	0.7382450058
141	0.7380074388
142	0.7377048895
143	0.7374187973
144	0.7368449189
145	0.7363811013
146	0.7359765149
147	0.7357267311
148	0.7355365403
149	0.7351454279
150	0.7347841548
151	0.7345056353
152	0.7342787837
153	0.7339099387
154	0.7334963291
155	0.7331598082
156	0.7328408363
157	0.7325390099
158	0.7322202
159	0.7318693039
160	0.7315834541
161	0.7312896659
162	0.7310180892
163	0.7307535406
164	0.7304799608
165	0.7301984266
166	0.7300392713
167	0.7298186652
168	0.7294288334
169	0.7291029026
170	0.7288163236
171	0.7284490376
172	0.728049966
173	0.7278459922
174	0.727529877
175	0.7272639502
176	0.7270337099
177	0.7267556208
178	0.7265502665
179	0.7263075433
180	0.7260797289
181	0.7259306498
182	0.7254447573
183	0.7251097081
184	0.7247681944
185	0.7245200151
186	0.7242185782
187	0.7238973086
188	0.723667849
189	0.7234675196
190	0.7232533769
191	0.7226988829
192	0.7223514303
193	0.7221179335
194	0.7218803497
195	0.7216480653
196	0.7211654869
197	0.7208917879
198	0.7205384109
199	0.7203805915
200	0.7201511621
201	0.7198048522
202	0.7193433337
203	0.7190744975
204	0.7187431407
205	0.7184924745
206	0.7182574971
207	0.7180084156
208	0.7176795892
209	0.7175198223
210	0.7172294207
211	0.7170515886
212	0.7167951439
213	0.7166261226
214	0.7163205286
215	0.7162135732
216	0.7159763216
217	0.7155683914
218	0.7153356918
219	0.7152825001
220	0.7150523869
221	0.7147881299
222	0.7144384873
223	0.7142841338
224	0.7139586347
225	0.7137846796
226	0.7135756757
227	0.713446637
228	0.7132319314
229	0.7131358759
230	0.7129223671
231	0.7125638381
232	0.7124313798
233	0.7121465745
234	0.7119305552
235	0.7115274764
236	0.7113450329
237	0.7110702633
238	0.7109342751
239	0.7107712779
240	0.7105574291
241	0.7103163456
242	0.7100721475
243	0.7098942239
244	0.70963179
245	0.709305374
246	0.7090153908
247	0.7087287104
248	0.7085204604
249	0.7083575083
250	0.7081013369
251	0.707821745
252	0.7076193996
253	0.7075045434
254	0.7073728647
255	0.707084524
256	0.7067066675
257	0.7064635633
258	0.7062934762
259	0.7061005952
260	0.7058371602
261	0.7056928068
262	0.7054970864
263	0.7050784422
264	0.7048627844
265	0.7047150651
266	0.7045684392
267	0.7043694183
268	0.7041410685
269	0.703693314
270	0.7035112493
271	0.7031900027
272	0.7029358604
273	0.7027476045
274	0.7024842897
275	0.7021877453
276	0.7020674794
277	0.7019441882
278	0.7016135765
279	0.7013608795
280	0.7010913692
281	0.7008581275
282	0.7007544609
283	0.7006370127
284	0.7004030324
285	0.7002019603
286	0.7000256509
287	0.6998729985
288	0.6996982953
289	0.699557088
290	0.699396825
291	0.6992382012
292	0.6990406255
293	0.6989258555
294	0.6986846769
295	0.6984886051
296	0.6983730003
297	0.6981894673
298	0.6980327304
299	0.6979173671
300	0.6976591231
301	0.6973873209
302	0.6970560499
303	0.6969079177
304	0.6966531707
305	0.6963123135
306	0.6961857286
307	0.6959595276
308	0.695722976
309	0.6955256658
310	0.6954211676
311	0.6951608802
312	0.6949490451
313	0.6947078526
314	0.6945212239
315	0.6942601083
316	0.6940327675
317	0.6938636283
318	0.6936638888
319	0.693582907
320	0.6933028589
321	0.6930758119
322	0.6928927987
323	0.6927326713
324	0.6923868006
325	0.6920857799
326	0.6918540669
327	0.6916746991
328	0.6914224194
329	0.6913294808
330	0.6911718762
331	0.6909920917
332	0.6908042395
333	0.6904926533
334	0.6902407807
335	0.6900223367
336	0.6898938434
337	0.6897200131
338	0.6894484575
339	0.6892151356
340	0.689142438
341	0.6890768604
342	0.6888455416
343	0.6887517409
344	0.6884367201
345	0.6882743348
346	0.6880204592
347	0.687852428
348	0.6876981386
349	0.687392976
350	0.6872433903
351	0.6869065551
352	0.6867002731
353	0.6863585117
354	0.6862247276
355	0.6861174893
356	0.685810917
357	0.6856148727
358	0.6854001436
359	0.685303983
360	0.6850209062
361	0.6848497191
362	0.6846912232
363	0.6845794484
364	0.6842687344
365	0.6840896969
366	0.6839362103
367	0.6836545865
368	0.6835307956
369	0.6834070978
370	0.6831932584
371	0.6830323767
372	0.682832599
373	0.6827092147
374	0.6824825836
375	0.6823509567
376	0.6822400778
377	0.6820052373
378	0.6817999962
379	0.6816468364
380	0.6814276486
381	0.681283613
382	0.6810802162
383	0.6808893659
384	0.6806636097
385	0.6804721103
386	0.6801378807
387	0.6799677266
388	0.679845466
389	0.6797518626
390	0.6796258593
391	0.6794741599
392	0.6793776852
393	0.6791983034
394	0.6789025092
395	0.6786327993
396	0.6784331345
397	0.6783482838
398	0.6781585515
399	0.6779359407
400	0.6778289232
401	0.6777238821
402	0.677625735
403	0.6774050374
404	0.6771576367
405	0.6769876465
406	0.6768752425
407	0.6767101833
408	0.6765138919
409	0.6763570739
410	0.6761662802
411	0.6759892536
412	0.6757312836
413	0.6756109885
414	0.6754210759
415	0.6752483201
416	0.674991449
417	0.6748190251
418	0.6747134367
419	0.6744744837
420	0.6741211557
421	0.6738651155
422	0.6736383172
423	0.6734365562
424	0.6733138964
425	0.6731838923
426	0.6729725019
427	0.6727683191
428	0.6724874969
429	0.672307348
430	0.6720708147
431	0.6718235098
432	0.6716328755
433	0.6714310339
434	0.6713152429
435	0.6711428814
436	0.6709204382
437	0.6708430099
438	0.6707895936
439	0.6706966817
440	0.6705363426
441	0.6703418695
442	0.6702362897
443	0.6699850591
444	0.6698245972
445	0.6696695318
446	0.6695407995
447	0.6694294635
448	0.6693095236
449	0.6691914601
450	0.6689697454
451	0.6688638899
452	0.6686982718
453	0.6685475923
454	0.6684263214
455	0.6682204744
456	0.6680926005
457	0.6679159317
458	0.6678432517
459	0.667626804
460	0.6674608934
461	0.6673668041
462	0.6673067804
463	0.6671497303
464	0.6669826147
465	0.6667930926
466	0.6666583774
467	0.6664936351
468	0.6663897071
469	0.6661665545
470	0.6660238708
471	0.665928485
472	0.6658087104
473	0.6656684767
474	0.6654542643
475	0.6651909739
476	0.6649675294
477	0.6648478078
478	0.6647409999
479	0.6645257351
480	0.6643966567
481	0.6641777051
482	0.6640376249
483	0.6638321475
484	0.663752222
485	0.6636047665
486	0.6635174772
487	0.6634428886
488	0.6632647999
489	0.6630817982
490	0.6629123417
491	0.662827323
492	0.6626877125
493	0.6625465634
494	0.6624325706
495	0.6622592281
496	0.6621868874
497	0.6619386068
498	0.6616994384
499	0.6614709475
500	0.6613385981
501	0.6612217872
502	0.6611527415
503	0.661021377
504	0.6609652278
505	0.6607519505
506	0.6605371156
507	0.6603467601
508	0.6601583891
509	0.6600308338
510	0.6599574187
511	0.6597250798
512	0.6595750545
513	0.6594353264
514	0.6592111668
515	0.659061057
516	0.6589534496
517	0.6587515443
518	0.6585953586
519	0.6584913938
520	0.6582649388
521	0.6581566205
522	0.6580420611
523	0.6579130509
524	0.6577605116
525	0.6575631092
526	0.6575175055
527	0.6574098529
528	0.6573217138
529	0.6571888968
530	0.6570729618
531	0.656858479
532	0.6567617392
533	0.6566151726
534	0.656421496
535	0.6562934856
536	0.6561872507
537	0.656075465
538	0.6559187983
539	0.6557538665
540	0.6555580754
541	0.6554017552
542	0.655231649
543	0.6550718743
544	0.6548372223
545	0.6546641218
546	0.6545164548
547	0.6543427114
548	0.6542156645
549	0.6540925009
550	0.6539957599
551	0.6539080198
552	0.6537098867
553	0.6535911579
554	0.6534551306
555	0.6533421403
556	0.6532621172
557	0.6531739726
558	0.6531013164
559	0.6529211185
560	0.6527498072
561	0.6526267312
562	0.6525321312
563	0.6524400635
564	0.6523731185
565	0.6521991783
566	0.6520014059
567	0.6518576892
568	0.6517181357
569	0.6516361875
570	0.6514497281
571	0.6512290346
572	0.6511239684
573	0.651031648
574	0.6509546616
575	0.6507882928
576	0.6505758315
577	0.6505033543
578	0.6503802354
579	0.6501759414
580	0.6500399549
